Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
QQQM,Equity,US - Large Cap Growth Equities,
IG,Bond,US - Corporate Bonds,
DOG,Inverse Equity,Inverse Equities,
IGE,Equity,US - Large Cap Blend Equities,Materials
IQSU,Equity,US - Large Cap Growth Equities,
IXP,Equity,US - Large Cap Growth Equities,Telecom
ULST,Bond,US - Short Term Government Bonds,
PSEP,Equity,US - Large Cap Blend Equities,
FTLS,Alternatives,Long-Short,
TUR,Equity,Global - Emerging Markets Equities - Others,
VSDA,Equity,US - Large Cap Growth Equities,
DFEN,Leveraged Equity,Leveraged Equities,Industrials
SPBO,Bond,US - Corporate Bonds,
DUSA,Equity,US - Large Cap Blend Equities,
FDRR,Equity,US - Large Cap Value Equities,
RCD,Equity,US - Large Cap Blend Equities,Consumer Discretionary
SPGP,Equity,US - Large Cap Growth Equities,
IAT,Equity,US - All Cap Equities,Financials
FCVT,Bond,Preferred Stock/Convertible Bonds,
KBWD,Equity,US - Small Cap Blend Equities,Financials
RWJ,Equity,US - Small Cap Value Equities,
DFE,Equity,Global - Developed Markets Equities - Canada & Europe,
EPOL,Equity,Global - Developed Markets Equities - Canada & Europe,
USVM,Equity,US - Small Cap Blend Equities,
BIZD,Equity,US - All Cap Equities,Financials
EUSA,Equity,US - Large Cap Blend Equities,
SMMU,Bond,US - Municipal Bonds,
GSUS,Equity,US - Large Cap Growth Equities,
TBF,Inverse Debt,Inverse Bonds,
MEAR,Bond,US - Municipal Bonds,
MMIN,Bond,US - Municipal Bonds,
XPH,Equity,US - All Cap Equities,Healthcare
SBIO,Equity,US - All Cap Equities,Healthcare
CAPE,Equity,Global - Global Equities,
PBE,Equity,US - All Cap Equities,Healthcare
BSCR,Bond,US - Corporate Bonds,
BBUS,Equity,US - Large Cap Growth Equities,
SKOR,Bond,US - Corporate Bonds,
KBWP,Equity,US - All Cap Equities,Financials
TMF,Leveraged Debt,Leveraged Bonds,
FNDB,Equity,US - Large Cap Value Equities,
YYY,Multi-Asset,Diversified Portfolio,
FVAL,Equity,US - Large Cap Value Equities,
CLIX,Alternatives,Long-Short,Consumer Staples
RWK,Equity,US - Small Cap Blend Equities,
IBND,Bond,Global - Corporate Bonds,
FCOR,Bond,US - Corporate Bonds,
IDNA,Equity,US - All Cap Equities,Healthcare
GAL,Multi-Asset,Diversified Portfolio,
DEF,Equity,US - Large Cap Growth Equities,
JPME,Equity,US - Mid Cap Blend Equities,
NUMG,Equity,US - Mid Cap Growth Equities,
BIB,Leveraged Equity,Leveraged Equities,Healthcare
BIBL,Equity,US - Large Cap Growth Equities,
FXG,Equity,US - All Cap Equities,Consumer Staples
ROUS,Equity,US - Large Cap Value Equities,
RWM,Inverse Equity,Inverse Equities,
ONEO,Equity,US - All Cap Equities,
USTB,Bond,US - Total Bond Market,
FMAT,Equity,US - All Cap Equities,Materials
GSSC,Equity,US - Small Cap Growth Equities,
COWZ,Equity,US - Large Cap Value Equities,
FYC,Equity,US - Small Cap Growth Equities,
PREF,Preferred Stock,Preferred Stock/Convertible Bonds,
SHYD,Bond,US - Municipal Bonds,
IHAK,Equity,US - All Cap Equities,Technology
MORT,Real Estate,US - Real Estate,Real Estate
UCON,Bond,US - High Yield Bonds,
FLEE,Equity,Global - Developed Markets Equities - Canada & Europe,
ULTR,Bond,US - Short Term Government Bonds,
SMB,Bond,US - Municipal Bonds,
MLN,Bond,US - Municipal Bonds,
PIO,Equity,Global - Global Equities,Industrials
YLD,Bond,US - High Yield Bonds,
QGRO,Equity,US - Large Cap Growth Equities,
QID,Inverse Equity,Inverse Equities,
CZA,Equity,US - Mid Cap Blend Equities,
FLHY,Bond,US - Corporate Bonds,
FVC,Multi-Asset,Hedge Fund,
PFFA,Preferred Stock,Preferred Stock/Convertible Bonds,
FLTB,Bond,US - Total Bond Market,
PJAN,Equity,US - Large Cap Blend Equities,
FFEB,Equity,US - Large Cap Blend Equities,
FDD,Equity,Global - Developed Markets Equities - Canada & Europe,
NRGU,Leveraged Equity,Leveraged Equities,Energy
FDG,Equity,Global - Global Equities,
RYU,Equity,US - Large Cap Blend Equities,Utilities
COMT,Commodities,Commodities,
BSJO,Bond,US - Corporate Bonds,
SMLV,Equity,US - Small Cap Blend Equities,
IBDT,Bond,US - Corporate Bonds,
PAWZ,Equity,Global - Global Equities,Consumer Discretionary
POCT,Equity,US - Large Cap Blend Equities,
FAD,Equity,US - All Cap Equities,
BYLD,Bond,US - Total Bond Market,
FFTY,Equity,US - All Cap Equities,
GSST,Bond,Mortgage Backed Securities,
FAZ,Inverse Equity,Inverse Equities,Financials
DSTL,Equity,US - Large Cap Growth Equities,
SIXH,Multi-Asset,US - All Cap Equities,
CACG,Equity,US - Large Cap Growth Equities,
KBWY,Real Estate,US - Real Estate,Real Estate
ADME,Multi-Asset,Hedge Fund,
RTH,Equity,US - All Cap Equities,Consumer Discretionary
