Rebalancing Date:,Portfolio Value:,Portfolio returns:,Portfolio Running High Value:,Portfolio Maximum DrawDown:
2012-12-26,1252.8270282465592,-0.0109464877679043,,-0.09435941773090493
2013-01-02,1259.1631333812395,0.005057446073420291,,-0.08977918932417805
2013-01-31,1307.5019256455264,0.03838961845593625,,-0.054836159691680306
2013-02-28,1339.1732984537373,0.024222811597447214,,-0.03194163405917229
2013-03-28,1384.2256624251404,0.033641922239207034,,-0.0
2013-04-30,1426.3785303472646,0.030452309234227704,,-0.0
2013-05-31,1644.1149230963608,0.15264979675211898,,-0.0
2013-06-28,1604.7342213276252,-0.023952523765534584,,-0.023952523765534594
2013-07-31,1800.9192791703886,0.12225392543847913,,-0.0
2013-08-30,1777.7747109872134,-0.012851530021843582,,-0.012851530021843567
2013-09-30,2054.1911195449866,0.1554844980353427,,-0.0
2013-10-09,2053.8844324326005,-0.0001492982368913598,,-0.000149298236891403
2013-10-15,2043.8241268875574,-0.004898184818085238,,-0.005046751764619388
2013-10-31,1995.4296958650334,-0.023678373489122828,,-0.028605626380552706
2013-11-29,2044.7669305183504,0.02472511798113186,,-0.004587785886604221
2013-12-31,2022.6403055996714,-0.010821098770934179,,-0.01535923977331957
2014-01-31,1997.5985599898631,-0.012380721149717111,,-0.027549802458331614
2014-02-28,2173.5152921977515,0.088064106438273,,-0.0
2014-03-31,2105.102293060313,-0.031475738580271306,,-0.0314757385802713
2014-04-30,2067.900986584805,-0.0176719709052362,,-0.04859147114909613
2014-05-30,2090.0255514300916,0.010699044581349071,,-0.038412308883844656
2014-06-30,2165.5998017100496,0.036159486293479315,,-0.0036417919469515633
2014-07-31,2051.459963610837,-0.052705877609096174,,-0.05615572571541388
2014-08-29,2067.9256671751955,0.008026334345505148,,-0.04858011599991504
2014-09-30,1977.8215675923316,-0.04357221394033317,,-0.09003558673265374
2014-10-31,2049.4871847443424,0.0362346221349239,,-0.05706337006168381
2014-11-28,2154.593175545981,0.05128404392279706,,-0.00870576651551292
2014-12-31,2259.507350183195,0.048693264152119164,,-0.0
2015-01-30,2181.0837718184202,-0.03470826432957441,,-0.03470826432957441
2015-02-27,2192.7441109184415,0.005346121616548238,,-0.029547697315231283
2015-03-31,2327.609876927577,0.06150547404851814,,-0.0
2015-04-30,2563.076967976742,0.10116261035976493,,-0.0
2015-05-29,2500.9298230266786,-0.024247084939911567,,-0.02424708493991162
2015-06-30,2367.631462397299,-0.05329952060312482,,-0.07625424753971587
2015-07-01,2339.962923346809,-0.011686168007952857,,-0.08704929559959956
2015-07-08,2251.8922657962153,-0.0376376294991152,,-0.12141059596277809
2015-07-10,2324.4669030500395,0.03222829011678474,,-0.09309516175593348
2015-07-16,2238.302025678051,-0.03706866174731405,,-0.12671291044180533
2015-07-31,2227.97254551719,-0.00461487325765686,,-0.13074301967766444
2015-08-05,2236.6266927144266,0.0038843150085710043,,-0.12736655174269335
2015-08-11,2238.504866256133,0.0008397349221596073,,-0.1266337709619472
2015-08-13,2227.7589131806963,-0.004800504674983941,,-0.13082636962741742
2015-08-19,2250.409944685413,0.010167631412313138,,-0.12198893252048688
2015-08-20,2267.045202899882,0.007392101271928242,,-0.11549858579180446
2015-10-07,2231.918532980655,-0.01549447266172499,,-0.1292034687735104
2015-10-30,2312.000033523562,0.035880118095511504,,-0.09795918639594219
2015-11-30,2322.567486256466,0.004570697482559671,,-0.09383623072003595
2015-12-31,2290.007475884564,-0.014018972781015937,,-0.1065397159367146
2016-01-11,2023.7958419691142,-0.11624924229237277,,-0.2104037969773997
2016-01-15,2089.4680067165204,0.03244999489845202,,-0.1847814042174792
2016-01-29,2117.151498743991,0.013249062411332835,,-0.17398052216307744
2016-02-01,2101.0614205949228,-0.007599870939143272,,-0.1802581635878566
2016-02-05,2167.2631080450933,0.0315086873716548,,-0.15442917433888012
2016-02-29,2257.652752660875,0.04170681643601393,,-0.11916310712938298
2016-03-31,2352.1614362801765,0.041861479143731506,,-0.08228997190945035
2016-04-29,2481.4412834013533,0.05496214890999407,,-0.03185065668934265
2016-05-31,2423.6698103243025,-0.023281418530227138,,-0.0543905467507226
2016-06-30,2494.7007157243634,0.029307170926289094,,-0.0266774088748313
2016-07-29,2518.9650367490813,0.009726345477746978,,-0.01721053709225201
2016-08-31,2553.842607724687,0.013845992487699466,,-0.003602841571841087
2016-09-30,2700.4670898333134,0.05741328054639183,,-0.0
2016-10-31,2515.241514060055,-0.06859019925500787,,-0.06859019925500788
2016-11-08,2518.0130960246024,0.0011019148455742034,,-0.06756386496825367
2016-11-15,2755.6897274851895,0.09439054619526277,,-0.0
